URI_Name;Provincia;Canton;Parroquia;Latitud;Longitud;Nombre;Direccion;Tipo;RegimenEscolar;Modalidad;JornadaLaboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
ESCUELADEEDUCACIÓNBÁSICAORILLASDELJUBONES;Loja_Province;SARAGURO;SUMAYPAMBA;-3,357721821;-79,35022442;ESCUELA DE EDUCACIÓN BÁSICA ORILLAS DEL JUBONES;   BARRIO SUMAYPAMBA;FiscalHighSchool;Costa;Presencial;Matutina,Vespertina;9;4;13;0;91;89;180
COLEGIOPROFESORVIRGILIOABARCAMONTESINOS;Loja_Province;SARAGURO;URDANETA(PAQUISHAPA);-3,606226243;-79,21014149;COLEGIO PROFESOR VIRGILIO ABARCA MONTESINOS;   PARROQUIA URDANETA;FiscalHighSchool;Sierra;Presencial;Matutina;9;13;22;3;167;207;374
ESCUELADEEDUCACIONBASICAMARIETADEVEINTIMILLA;Loja_Province;LOJA;VALLE;-3,944304255;-79,22533122;ESCUELA DE EDUCACION BASICA MARIETA DE VEINTIMILLA;AV  CHUQUIRIBAMBA 00 AV  INTEGRACION BARRIAL Y  LAGUNA DE YAMBO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;33;19;52;4;495;615;111
I.E.ESPECIALDELOJANO.2;Loja_Province;LOJA;VALLE;-3,971886224;-79,19719843;I.E. ESPECIAL DE LOJA NO. 2;AGUSTIN PALACIOS 1 TRAS DEL ASILO DE ANCIANO DANIEL ALVAREZ SANCHEZ ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;11;3;14;1;17;40;57
SERVICIOECUATORIANODECAPACITACIÓNPROFESIONALSECAP;Loja_Province;LOJA;VALLE;-3,995405;-79,195399;SERVICIO ECUATORIANO DE CAPACITACIÓN PROFESIONAL SECAP;GRANADA LOJA AV ISIDRO AYORA ;FiscalHighSchool;Sierra;Presencial;Matutina;1;1;2;16;;13;13
UNIDADEDUCFISCOMISIONALPARAPCEIJOSEMARIAVELAZEXT1LOJA;Loja_Province;LOJA;VALLE;-3,981941278;-79,20127336;UNIDAD EDUC FISCOMISIONAL PARA PCEI JOSE MARIA VELAZ EXT 1 LOJA;ESMERALDAS  GUAYAQUIL Y MANTA ;FiscomitionalHighSchool;Sierra;Semipresencial;Vespertina;6;3;9;2;92;92;184
UNIDADEDUCATIVACOMILN5LAUROGUERRERO;Loja_Province;LOJA;VALLE;-3,948808534;-79,21741644;UNIDAD EDUCATIVA COMIL N 5 LAURO GUERRERO;SALVADOR BUSTAMANTE CELI  ninguna ;FiscalHighSchool;Sierra;Presencial;Matutina;43;19;62;20;473;866;1339
UNIDADEDUCATIVAFERNANDOSUAREZPALACIO;Loja_Province;LOJA;VALLE;-3,951781033;-79,24161213;UNIDAD EDUCATIVA FERNANDO SUAREZ PALACIO;AVENIDA PABLO PALACIO 1 SIN NOMBRE ;FiscalHighSchool;Sierra;Presencial;Matutina;16;5;21;2;185;172;357
UNIDADEDUCATIVAFISCOMISIONALPARAPCIHERMANOANGELPASTRANA;Loja_Province;LOJA;VALLE;-3,987918158;-79,20119734;UNIDAD EDUCATIVA FISCOMISIONAL  PARA PCI HERMANO ANGEL PASTRANA;BERNARDO VALDIVIESO 0361 QUITO Y JOSE FELIX DE VALDIVIESO ;FiscomitionalHighSchool;Costa;Distancia;Matutina;44;21;65;1;514;584;1098
UNIDADEDUCATIVAFISCOMISIONALCALASANZ;Loja_Province;LOJA;VALLE;-3,976996903;-79,20211244;UNIDAD EDUCATIVA FISCOMISIONAL CALASANZ;AVENIDA ORILLAS DEL ZAMORA  ISIDRO AYORA ;FiscomitionalHighSchool;Sierra;Presencial;Matutina,Nocturno;59;29;88;24;1.079;121;2289
COLEGIODEBACHILLERATOFRANCISCOVALDIVIESOALVARADO;Loja_Province;PALTAS;YAMANA;-4,003836171;-79,69861391;COLEGIO DE BACHILLERATO FRANCISCO VALDIVIESO ALVARADO;   AV 20  DE JULIO;FiscalHighSchool;Costa;Presencial;Matutina;4;4;8;3;34;39;73
UNIDADEDUCATIVAPARTICULARATENEO;Loja_Province;LOJA;ELSAGRARIO;-3,998861008;-79,20188483;UNIDAD EDUCATIVA PARTICULAR ATENEO;CALLE SUCRE 05-43 COLÓN E IMBABAURA ;LaicHighSchool;Sierra;Presencial;Matutina;23;2;25;6;134;173;307
UNIDADEDUCATIVAPARTICULARJOSEANTONIOEGUIGURENLASALLE;Loja_Province;LOJA;ELSAGRARIO;-3,998277339;-79,19552922;UNIDAD EDUCATIVA PARTICULAR JOSE ANTONIO EGUIGUREN  LA SALLE;AVENIDA ORILLAS DEL ZAMORA 3 ROCAFUERTE ;ReligiousHighSchool;Sierra;Presencial;Matutina;28;17;45;19;314;610;924
UNIDADEDUCATIVAPARTICULARJUANMONTALVO;Loja_Province;LOJA;SANSEBASTIAN;-4,00330276;-79,19455478;UNIDAD EDUCATIVA PARTICULAR JUAN MONTALVO;AV. EMILIANO ORTEGA 1375 LOURDES ;LaicHighSchool;Sierra;Presencial;Matutina;14;4;18;8;75;92;167
UNIDADEDUCATIVASANFRANCISCODEASIS;Loja_Province;LOJA;ELSAGRARIO;-3,994529151;-79,20164216;UNIDAD EDUCATIVA SAN FRANCISCO DE ASIS;IMBABURA 13-46 BOLIVAR  Y BERNARDO VALDIVIESO ;FiscomitionalHighSchool;Sierra;Presencial;Matutina;44;18;62;8;612;795;1407
UNIDADEDUCATIVASANVICENTEDEPAÚL;Loja_Province;GONZANAMA;CHANGAIMINA(LALIBERTAD);-4,222472809;-79,52389241;UNIDAD EDUCATIVA SAN VICENTE DE PAÚL;   A UNA CUADRA DEL SANTUARIO REINA DE LA CARIDAD;FiscomitionalHighSchool;Costa;Presencial;Matutina;14;12;26;6;218;216;434
UNIDADEDUCATIVASANGUILLIN;Loja_Province;CALVAS;SANGUILLIN;-4,449720315;-79,50338441;UNIDAD EDUCATIVA SANGUILLIN;   CENTRO PARROQUIAL SANGUILLIN FRENTE AL PARQUE CENTRAL;FiscalHighSchool;Costa;Presencial;Matutina;8;8;16;4;112;100;212
UNIDADEDUCATIVASANTAMARIANADEJESUS;Loja_Province;LOJA;ELSAGRARIO;-3,99811577;-79,20017568;UNIDAD EDUCATIVA SANTA MARIANA DE JESUS;OLMEDO 0960 ROCAFUERTE Y MIGUEL RIOFRIO ;ReligiousHighSchool;Sierra;Presencial;Matutina;43;13;56;22;1.199;88;1287
UNIDADEDUCATIVASANTAMARIANADEJESUS;Loja_Province;MACARA;MACARA(MANUELENRIQUERENGELSUQUILANDA);-4,354343123;-79,97028583;UNIDAD EDUCATIVA SANTA MARIANA DE JESUS;JUVENAL JARAMILLO 69-15 ALAMOR ;FiscomitionalHighSchool;Costa;Presencial;Matutina;28;9;37;3;493;354;847
UNIDADEDUCATIVASANTATERESITA;Loja_Province;CELICA;CELICA;-4,103198553;-79,95635732;UNIDAD EDUCATIVA SANTA TERESITA;GARCIA MORENO  PRESBITERO RIOFRIO ;FiscomitionalHighSchool;Costa;Presencial;Matutina;36;11;47;4;354;384;738
UNIDADEDUCATIVATIOPAMBA;Loja_Province;ESPINDOLA;AMALUZA;-4,539268286;-79,42569281;UNIDAD EDUCATIVA TIOPAMBA;   VIA AMALUZA A CARIAMANGA KM 8 BARRIO  TIOPAMBA;FiscalHighSchool;Costa;Presencial;Matutina;9;7;16;3;79;63;142
